NUM ITERATIONS:	4381
FINAL VALUES:	3.8994e-05	0	0	
writing to: output_1.txt

V1(t) and V2(t) have finished calculating and is located in output_1.txt

Begin parameter extraction for a2/a1, tau1, tau2
6.00582e+151 -1.74833e-05 5e-08
5.63348e+151 -1.74801e-05 5e-08
5.28424e+151 -1.74769e-05 5e-08
4.64935e+151 -1.74705e-05 5e-08
4.09075e+151 -1.74641e-05 5e-08
3.16682e+151 -1.74513e-05 5e-08
1.89786e+151 -1.74257e-05 5e-08
1.13738e+151 -1.74001e-05 5e-08
6.81628e+150 -1.73745e-05 5e-08
4.08497e+150 -1.73489e-05 5e-08
3.16234e+150 -1.73361e-05 5e-08
2.7824e+150 -1.73297e-05 5e-08
2.6099e+150 -1.73265e-05 5e-08
2.4481e+150 -1.73233e-05 5e-08
2.29633e+150 -1.73201e-05 5e-08
2.15397e+150 -1.73169e-05 5e-08
2.02044e+150 -1.73137e-05 5e-08
1.89518e+150 -1.73105e-05 5e-08
1.66748e+150 -1.73041e-05 5e-08
1.46714e+150 -1.72977e-05 5e-08
1.13577e+150 -1.72849e-05 5e-08
4.39495e+173 -2.00005e-05 5e-08
4.38617e+173 -2.00004e-05 5e-08
4.37741e+173 -2.00003e-05 5e-08
4.36866e+173 -2.00002e-05 5e-08
4.35993e+173 -2.00001e-05 5e-08
4.35122e+173 -2e-05 5e-08
4.34253e+173 -1.99999e-05 5e-08
4.33385e+173 -1.99998e-05 5e-08
4.32519e+173 -1.99997e-05 5e-08
4.31655e+173 -1.99996e-05 5e-08
4.30793e+173 -1.99995e-05 5e-08
4.29932e+173 -1.99994e-05 5e-08
4.29073e+173 -1.99993e-05 5e-08
4.28215e+173 -1.99992e-05 5e-08
4.2736e+173 -1.99991e-05 5e-08
4.26506e+173 -1.9999e-05 5e-08
4.25654e+173 -1.99989e-05 5e-08
4.24803e+173 -1.99988e-05 5e-08
4.23955e+173 -1.99987e-05 5e-08
4.23108e+173 -1.99986e-05 5e-08
4.22262e+173 -1.99985e-05 5e-08
4.21419e+173 -1.99984e-05 5e-08
4.20577e+173 -1.99983e-05 5e-08
4.19736e+173 -1.99982e-05 5e-08
4.18898e+173 -1.99981e-05 5e-08
4.18061e+173 -1.9998e-05 5e-08
4.17225e+173 -1.99979e-05 5e-08
4.16392e+173 -1.99978e-05 5e-08
4.1556e+173 -1.99977e-05 5e-08
4.1473e+173 -1.99976e-05 5e-08
4.13901e+173 -1.99975e-05 5e-08
4.13074e+173 -1.99974e-05 5e-08
4.12249e+173 -1.99973e-05 5e-08
4.11425e+173 -1.99972e-05 5e-08
4.10603e+173 -1.99971e-05 5e-08
4.09783e+173 -1.9997e-05 5e-08
4.08964e+173 -1.99969e-05 5e-08
4.08147e+173 -1.99968e-05 5e-08
4.07331e+173 -1.99967e-05 5e-08
4.06517e+173 -1.99966e-05 5e-08
4.05705e+173 -1.99965e-05 5e-08
4.04895e+173 -1.99964e-05 5e-08
4.04086e+173 -1.99963e-05 5e-08
4.03278e+173 -1.99962e-05 5e-08
4.02472e+173 -1.99961e-05 5e-08
4.01668e+173 -1.9996e-05 5e-08
4.00866e+173 -1.99959e-05 5e-08
4.00065e+173 -1.99958e-05 5e-08
3.99265e+173 -1.99957e-05 5e-08
3.98468e+173 -1.99956e-05 5e-08
3.97672e+173 -1.99955e-05 5e-08
3.96877e+173 -1.99954e-05 5e-08
3.96084e+173 -1.99953e-05 5e-08
3.95293e+173 -1.99952e-05 5e-08
3.94503e+173 -1.99951e-05 5e-08
3.93715e+173 -1.9995e-05 5e-08
3.92928e+173 -1.99949e-05 5e-08
3.92143e+173 -1.99948e-05 5e-08
3.91359e+173 -1.99947e-05 5e-08
3.90578e+173 -1.99946e-05 5e-08
3.89797e+173 -1.99945e-05 5e-08
3.89018e+173 -1.99944e-05 5e-08
3.88241e+173 -1.99943e-05 5e-08
3.87465e+173 -1.99942e-05 5e-08
3.86691e+173 -1.99941e-05 5e-08
3.85919e+173 -1.9994e-05 5e-08
3.85148e+173 -1.99939e-05 5e-08
3.84378e+173 -1.99938e-05 5e-08
3.8361e+173 -1.99937e-05 5e-08
3.82844e+173 -1.99936e-05 5e-08
3.82079e+173 -1.99935e-05 5e-08
3.81315e+173 -1.99934e-05 5e-08
3.80553e+173 -1.99933e-05 5e-08
3.79793e+173 -1.99932e-05 5e-08
3.79034e+173 -1.99931e-05 5e-08
3.78277e+173 -1.9993e-05 5e-08
3.77521e+173 -1.99929e-05 5e-08
3.76767e+173 -1.99928e-05 5e-08
3.76014e+173 -1.99927e-05 5e-08
3.75263e+173 -1.99926e-05 5e-08
3.74513e+173 -1.99925e-05 5e-08
3.73765e+173 -1.99924e-05 5e-08
3.73018e+173 -1.99923e-05 5e-08
3.72273e+173 -1.99922e-05 5e-08
3.71529e+173 -1.99921e-05 5e-08
3.70787e+173 -1.9992e-05 5e-08
3.70046e+173 -1.99919e-05 5e-08
3.69306e+173 -1.99918e-05 5e-08
3.68568e+173 -1.99917e-05 5e-08
3.67832e+173 -1.99916e-05 5e-08
3.67097e+173 -1.99915e-05 5e-08
3.66364e+173 -1.99914e-05 5e-08
3.65632e+173 -1.99913e-05 5e-08
3.64901e+173 -1.99912e-05 5e-08
3.64172e+173 -1.99911e-05 5e-08
3.63444e+173 -1.9991e-05 5e-08
3.62718e+173 -1.99909e-05 5e-08
3.6127e+173 -1.99907e-05 5e-08
3.59828e+173 -1.99905e-05 5e-08
3.58392e+173 -1.99903e-05 5e-08
3.56961e+173 -1.99901e-05 5e-08
3.55536e+173 -1.99899e-05 5e-08
3.54117e+173 -1.99897e-05 5e-08
3.52703e+173 -1.99895e-05 5e-08
